Varga,MahaDasa,Planet,Shayanadi_Avastha
D2,Ra,Mars,7. Sabhaayaam- Congregating
D2,Ra,Mercury,1. Shayana- Laying
D2,Ra,Jupiter,8. Aagama- Aproaching
D2,Ra,Venus,1. Shayana- Laying
D2,Ra,Saturn,3. Netrapani- Guiding the Hand
D2,Ra,Rahu,1. Shayana- Laying
D2,Ra,Ketu,7. Sabhaayaam- Congregating
D2,Ju,Sun,11. Kautuka- Eagerness
D2,Ju,Moon,8. Aagama- Aproaching
D2,Ju,Mars,8. Aagama- Aproaching
D2,Ju,Mercury,2. Upavesha- Sitting
D2,Ju,Jupiter,9. Bhojana- Eating
D2,Ju,Venus,2. Upavesha- Sitting
D2,Ju,Saturn,4. Prakaashana- Illuminating
D2,Ju,Rahu,2. Upavesha- Sitting
D2,Ju,Ketu,8. Aagama- Aproaching
D2,Sa,Sun,12. Nidra- Slumbering
D2,Sa,Moon,9. Bhojana- Eating
D2,Sa,Mars,9. Bhojana- Eating
D2,Sa,Mercury,3. Netrapani- Guiding the Hand
D2,Sa,Jupiter,10. Nrityalipsa- Desiring to Dance
D2,Sa,Venus,3. Netrapani- Guiding the Hand
D2,Sa,Saturn,5. Gamana- Departing
D2,Sa,Rahu,3. Netrapani- Guiding the Hand
D2,Sa,Ketu,9. Bhojana- Eating
D3,Me,Sun,2. Upavesha- Sitting
D3,Me,Moon,1. Shayana- Laying
D3,Me,Mars,6. Aagamana- Arriving
D3,Me,Mercury,5. Gamana- Departing
D3,Me,Jupiter,8. Aagama- Aproaching
D3,Me,Venus,9. Bhojana- Eating
D3,Me,Saturn,1. Shayana- Laying
D3,Me,Rahu,9. Bhojana- Eating
D3,Me,Ketu,6. Aagamana- Arriving
D3,Ke,Sun,3. Netrapani- Guiding the Hand
D3,Ke,Moon,2. Upavesha- Sitting
D3,Ke,Mars,7. Sabhaayaam- Congregating
D3,Ke,Mercury,6. Aagamana- Arriving
D3,Ke,Jupiter,9. Bhojana- Eating
D3,Ke,Venus,10. Nrityalipsa- Desiring to Dance
D3,Ke,Saturn,2. Upavesha- Sitting
D3,Ke,Rahu,10. Nrityalipsa- Desiring to Dance
D3,Ke,Ketu,7. Sabhaayaam- Congregating
D3,Ve,Sun,4. Prakaashana- Illuminating
D3,Ve,Moon,3. Netrapani- Guiding the Hand
D3,Ve,Mars,8. Aagama- Aproaching
D3,Ve,Mercury,7. Sabhaayaam- Congregating
D3,Ve,Jupiter,10. Nrityalipsa- Desiring to Dance
D3,Ve,Venus,11. Kautuka- Eagerness
D3,Ve,Saturn,3. Netrapani- Guiding the Hand
D3,Ve,Rahu,11. Kautuka- Eagerness
D3,Ve,Ketu,8. Aagama- Aproaching
D3,Su,Sun,5. Gamana- Departing
D3,Su,Moon,4. Prakaashana- Illuminating
D3,Su,Mars,9. Bhojana- Eating
D3,Su,Mercury,8. Aagama- Aproaching
D3,Su,Jupiter,11. Kautuka- Eagerness
D3,Su,Venus,12. Nidra- Slumbering
D3,Su,Saturn,4. Prakaashana- Illuminating
D3,Su,Rahu,12. Nidra- Slumbering
D3,Su,Ketu,9. Bhojana- Eating
D3,Mo,Sun,6. Aagamana- Arriving
D3,Mo,Moon,5. Gamana- Departing
D3,Mo,Mars,10. Nrityalipsa- Desiring to Dance
D3,Mo,Mercury,9. Bhojana- Eating
D3,Mo,Jupiter,12. Nidra- Slumbering
D3,Mo,Venus,1. Shayana- Laying
D3,Mo,Saturn,5. Gamana- Departing
D3,Mo,Rahu,1. Shayana- Laying
D3,Mo,Ketu,10. Nrityalipsa- Desiring to Dance
D3,Ma,Sun,7. Sabhaayaam- Congregating
D3,Ma,Moon,6. Aagamana- Arriving
D3,Ma,Mars,11. Kautuka- Eagerness
D3,Ma,Mercury,10. Nrityalipsa- Desiring to Dance
D3,Ma,Jupiter,1. Shayana- Laying
D3,Ma,Venus,2. Upavesha- Sitting
D3,Ma,Saturn,6. Aagamana- Arriving
D3,Ma,Rahu,2. Upavesha- Sitting
D3,Ma,Ketu,11. Kautuka- Eagerness
D3,Ra,Sun,8. Aagama- Aproaching
D3,Ra,Moon,7. Sabhaayaam- Congregating
D3,Ra,Mars,12. Nidra- Slumbering
D3,Ra,Mercury,11. Kautuka- Eagerness
D3,Ra,Jupiter,2. Upavesha- Sitting
D3,Ra,Venus,3. Netrapani- Guiding the Hand
D3,Ra,Saturn,7. Sabhaayaam- Congregating
D3,Ra,Rahu,3. Netrapani- Guiding the Hand
D3,Ra,Ketu,12. Nidra- Slumbering
D3,Ju,Sun,9. Bhojana- Eating
D3,Ju,Moon,8. Aagama- Aproaching
D3,Ju,Mars,1. Shayana- Laying
D3,Ju,Mercury,12. Nidra- Slumbering
D3,Ju,Jupiter,3. Netrapani- Guiding the Hand
D3,Ju,Venus,4. Prakaashana- Illuminating
D3,Ju,Saturn,8. Aagama- Aproaching
D3,Ju,Rahu,4. Prakaashana- Illuminating
D3,Ju,Ketu,1. Shayana- Laying
D3,Sa,Sun,10. Nrityalipsa- Desiring to Dance
D3,Sa,Moon,9. Bhojana- Eating
D3,Sa,Mars,2. Upavesha- Sitting
D3,Sa,Mercury,1. Shayana- Laying
D3,Sa,Jupiter,4. Prakaashana- Illuminating
D3,Sa,Venus,5. Gamana- Departing
D3,Sa,Saturn,9. Bhojana- Eating
D3,Sa,Rahu,5. Gamana- Departing
D3,Sa,Ketu,2. Upavesha- Sitting
D4,Me,Sun,10. Nrityalipsa- Desiring to Dance
D4,Me,Moon,2. Upavesha- Sitting
D4,Me,Mars,10. Nrityalipsa- Desiring to Dance
D4,Me,Mercury,10. Nrityalipsa- Desiring to Dance
D4,Me,Jupiter,12. Nidra- Slumbering
D4,Me,Venus,4. Prakaashana- Illuminating
D4,Me,Saturn,2. Upavesha- Sitting
D4,Me,Rahu,10. Nrityalipsa- Desiring to Dance
D4,Me,Ketu,10. Nrityalipsa- Desiring to Dance
D4,Ke,Sun,11. Kautuka- Eagerness
D4,Ke,Moon,3. Netrapani- Guiding the Hand
D4,Ke,Mars,11. Kautuka- Eagerness
D4,Ke,Mercury,11. Kautuka- Eagerness
D4,Ke,Jupiter,1. Shayana- Laying
D4,Ke,Venus,5. Gamana- Departing
D4,Ke,Saturn,3. Netrapani- Guiding the Hand
D4,Ke,Rahu,11. Kautuka- Eagerness
D4,Ke,Ketu,11. Kautuka- Eagerness
D4,Ve,Sun,12. Nidra- Slumbering
D4,Ve,Moon,4. Prakaashana- Illuminating
D4,Ve,Mars,12. Nidra- Slumbering
D4,Ve,Mercury,12. Nidra- Slumbering
D4,Ve,Jupiter,2. Upavesha- Sitting
D4,Ve,Venus,6. Aagamana- Arriving
D4,Ve,Saturn,4. Prakaashana- Illuminating
D4,Ve,Rahu,12. Nidra- Slumbering
D4,Ve,Ketu,12. Nidra- Slumbering
D4,Su,Sun,1. Shayana- Laying
D4,Su,Moon,5. Gamana- Departing
D4,Su,Mars,1. Shayana- Laying
D4,Su,Mercury,1. Shayana- Laying
D4,Su,Jupiter,3. Netrapani- Guiding the Hand
D4,Su,Venus,7. Sabhaayaam- Congregating
D4,Su,Saturn,5. Gamana- Departing
D4,Su,Rahu,1. Shayana- Laying
D4,Su,Ketu,1. Shayana- Laying
D4,Mo,Sun,2. Upavesha- Sitting
D4,Mo,Moon,6. Aagamana- Arriving
D4,Mo,Mars,2. Upavesha- Sitting
D4,Mo,Mercury,2. Upavesha- Sitting
D4,Mo,Jupiter,4. Prakaashana- Illuminating
D4,Mo,Venus,8. Aagama- Aproaching
D4,Mo,Saturn,6. Aagamana- Arriving
D4,Mo,Rahu,2. Upavesha- Sitting
D4,Mo,Ketu,2. Upavesha- Sitting
D4,Ma,Sun,3. Netrapani- Guiding the Hand
D4,Ma,Moon,7. Sabhaayaam- Congregating
D4,Ma,Mars,3. Netrapani- Guiding the Hand
D4,Ma,Mercury,3. Netrapani- Guiding the Hand
D4,Ma,Jupiter,5. Gamana- Departing
D4,Ma,Venus,9. Bhojana- Eating
D4,Ma,Saturn,7. Sabhaayaam- Congregating
D4,Ma,Rahu,3. Netrapani- Guiding the Hand
D4,Ma,Ketu,3. Netrapani- Guiding the Hand
D4,Ra,Sun,4. Prakaashana- Illuminating
D4,Ra,Moon,8. Aagama- Aproaching
D4,Ra,Mars,4. Prakaashana- Illuminating
D4,Ra,Mercury,4. Prakaashana- Illuminating
D4,Ra,Jupiter,6. Aagamana- Arriving
D4,Ra,Venus,10. Nrityalipsa- Desiring to Dance
D4,Ra,Saturn,8. Aagama- Aproaching
D4,Ra,Rahu,4. Prakaashana- Illuminating
D4,Ra,Ketu,4. Prakaashana- Illuminating
D4,Ju,Sun,5. Gamana- Departing
D4,Ju,Moon,9. Bhojana- Eating
D4,Ju,Mars,5. Gamana- Departing
D4,Ju,Mercury,5. Gamana- Departing
D4,Ju,Jupiter,7. Sabhaayaam- Congregating
D4,Ju,Venus,11. Kautuka- Eagerness
D4,Ju,Saturn,9. Bhojana- Eating
D4,Ju,Rahu,5. Gamana- Departing
D4,Ju,Ketu,5. Gamana- Departing
D4,Sa,Sun,6. Aagamana- Arriving
D4,Sa,Moon,10. Nrityalipsa- Desiring to Dance
D4,Sa,Mars,6. Aagamana- Arriving
D4,Sa,Mercury,6. Aagamana- Arriving
D4,Sa,Jupiter,8. Aagama- Aproaching
D4,Sa,Venus,12. Nidra- Slumbering
D4,Sa,Saturn,10. Nrityalipsa- Desiring to Dance
D4,Sa,Rahu,6. Aagamana- Arriving
D4,Sa,Ketu,6. Aagamana- Arriving
D7,Me,Sun,1. Shayana- Laying
D7,Me,Moon,5. Gamana- Departing
D7,Me,Mars,4. Prakaashana- Illuminating
D7,Me,Mercury,9. Bhojana- Eating
D7,Me,Jupiter,3. Netrapani- Guiding the Hand
D7,Me,Venus,1. Shayana- Laying
D7,Me,Saturn,5. Gamana- Departing
D7,Me,Rahu,1. Shayana- Laying
D7,Me,Ketu,10. Nrityalipsa- Desiring to Dance
D7,Ke,Sun,2. Upavesha- Sitting
D7,Ke,Moon,6. Aagamana- Arriving
D7,Ke,Mars,5. Gamana- Departing
D7,Ke,Mercury,10. Nrityalipsa- Desiring to Dance
D7,Ke,Jupiter,4. Prakaashana- Illuminating
D7,Ke,Venus,2. Upavesha- Sitting
D7,Ke,Saturn,6. Aagamana- Arriving
D7,Ke,Rahu,2. Upavesha- Sitting
D7,Ke,Ketu,11. Kautuka- Eagerness
D7,Ve,Sun,3. Netrapani- Guiding the Hand
D7,Ve,Moon,7. Sabhaayaam- Congregating
D7,Ve,Mars,6. Aagamana- Arriving
D7,Ve,Mercury,11. Kautuka- Eagerness
D7,Ve,Jupiter,5. Gamana- Departing
D7,Ve,Venus,3. Netrapani- Guiding the Hand
D7,Ve,Saturn,7. Sabhaayaam- Congregating
D7,Ve,Rahu,3. Netrapani- Guiding the Hand
D7,Ve,Ketu,12. Nidra- Slumbering
D7,Su,Sun,4. Prakaashana- Illuminating
D7,Su,Moon,8. Aagama- Aproaching
D7,Su,Mars,7. Sabhaayaam- Congregating
D7,Su,Mercury,12. Nidra- Slumbering
D7,Su,Jupiter,6. Aagamana- Arriving
D7,Su,Venus,4. Prakaashana- Illuminating
D7,Su,Saturn,8. Aagama- Aproaching
D7,Su,Rahu,4. Prakaashana- Illuminating
D7,Su,Ketu,1. Shayana- Laying
D7,Mo,Sun,5. Gamana- Departing
D7,Mo,Moon,9. Bhojana- Eating
D7,Mo,Mars,8. Aagama- Aproaching
D7,Mo,Mercury,1. Shayana- Laying
D7,Mo,Jupiter,7. Sabhaayaam- Congregating
D7,Mo,Venus,5. Gamana- Departing
D7,Mo,Saturn,9. Bhojana- Eating
D7,Mo,Rahu,5. Gamana- Departing
D7,Mo,Ketu,2. Upavesha- Sitting
D7,Ma,Sun,6. Aagamana- Arriving
D7,Ma,Moon,10. Nrityalipsa- Desiring to Dance
D7,Ma,Mars,9. Bhojana- Eating
D7,Ma,Mercury,2. Upavesha- Sitting
D7,Ma,Jupiter,8. Aagama- Aproaching
D7,Ma,Venus,6. Aagamana- Arriving
D7,Ma,Saturn,10. Nrityalipsa- Desiring to Dance
D7,Ma,Rahu,6. Aagamana- Arriving
D7,Ma,Ketu,3. Netrapani- Guiding the Hand
D7,Ra,Sun,7. Sabhaayaam- Congregating
D7,Ra,Moon,11. Kautuka- Eagerness
D7,Ra,Mars,10. Nrityalipsa- Desiring to Dance
D7,Ra,Mercury,3. Netrapani- Guiding the Hand
D7,Ra,Jupiter,9. Bhojana- Eating
D7,Ra,Venus,7. Sabhaayaam- Congregating
D7,Ra,Saturn,11. Kautuka- Eagerness
D7,Ra,Rahu,7. Sabhaayaam- Congregating
D7,Ra,Ketu,4. Prakaashana- Illuminating
D7,Ju,Sun,8. Aagama- Aproaching
D7,Ju,Moon,12. Nidra- Slumbering
D7,Ju,Mars,11. Kautuka- Eagerness
D7,Ju,Mercury,4. Prakaashana- Illuminating
D7,Ju,Jupiter,10. Nrityalipsa- Desiring to Dance
D7,Ju,Venus,8. Aagama- Aproaching
D7,Ju,Saturn,12. Nidra- Slumbering
D7,Ju,Rahu,8. Aagama- Aproaching
D7,Ju,Ketu,5. Gamana- Departing
D7,Sa,Sun,9. Bhojana- Eating
D7,Sa,Moon,1. Shayana- Laying
D7,Sa,Mars,12. Nidra- Slumbering
D7,Sa,Mercury,5. Gamana- Departing
D7,Sa,Jupiter,11. Kautuka- Eagerness
D7,Sa,Venus,9. Bhojana- Eating
D7,Sa,Saturn,1. Shayana- Laying
D7,Sa,Rahu,9. Bhojana- Eating
D7,Sa,Ketu,6. Aagamana- Arriving
D9,Me,Sun,8. Aagama- Aproaching
D9,Me,Moon,5. Gamana- Departing
D9,Me,Mars,9. Bhojana- Eating
D9,Me,Mercury,9. Bhojana- Eating
D9,Me,Jupiter,3. Netrapani- Guiding the Hand
D9,Me,Venus,9. Bhojana- Eating
D9,Me,Saturn,6. Aagamana- Arriving
D9,Me,Rahu,9. Bhojana- Eating
D9,Me,Ketu,12. Nidra- Slumbering
D9,Ke,Sun,9. Bhojana- Eating
D9,Ke,Moon,6. Aagamana- Arriving
D9,Ke,Mars,10. Nrityalipsa- Desiring to Dance
D9,Ke,Mercury,10. Nrityalipsa- Desiring to Dance
D9,Ke,Jupiter,4. Prakaashana- Illuminating
D9,Ke,Venus,10. Nrityalipsa- Desiring to Dance
D9,Ke,Saturn,7. Sabhaayaam- Congregating
D9,Ke,Rahu,10. Nrityalipsa- Desiring to Dance
D9,Ke,Ketu,1. Shayana- Laying
D9,Ve,Sun,10. Nrityalipsa- Desiring to Dance
D9,Ve,Moon,7. Sabhaayaam- Congregating
D9,Ve,Mars,11. Kautuka- Eagerness
D9,Ve,Mercury,11. Kautuka- Eagerness
D9,Ve,Jupiter,5. Gamana- Departing
D9,Ve,Venus,11. Kautuka- Eagerness
D9,Ve,Saturn,8. Aagama- Aproaching
D9,Ve,Rahu,11. Kautuka- Eagerness
D9,Ve,Ketu,2. Upavesha- Sitting
D9,Su,Sun,11. Kautuka- Eagerness
D9,Su,Moon,8. Aagama- Aproaching
D9,Su,Mars,12. Nidra- Slumbering
D9,Su,Mercury,12. Nidra- Slumbering
D9,Su,Jupiter,6. Aagamana- Arriving
D9,Su,Venus,12. Nidra- Slumbering
D9,Su,Saturn,9. Bhojana- Eating
D9,Su,Rahu,12. Nidra- Slumbering
D9,Su,Ketu,3. Netrapani- Guiding the Hand
D9,Mo,Sun,12. Nidra- Slumbering
D9,Mo,Moon,9. Bhojana- Eating
D9,Mo,Mars,1. Shayana- Laying
D9,Mo,Mercury,1. Shayana- Laying
D9,Mo,Jupiter,7. Sabhaayaam- Congregating
D9,Mo,Venus,1. Shayana- Laying
D9,Mo,Saturn,10. Nrityalipsa- Desiring to Dance
D9,Mo,Rahu,1. Shayana- Laying
D9,Mo,Ketu,4. Prakaashana- Illuminating
D9,Ma,Sun,1. Shayana- Laying
D9,Ma,Moon,10. Nrityalipsa- Desiring to Dance
D9,Ma,Mars,2. Upavesha- Sitting
D9,Ma,Mercury,2. Upavesha- Sitting
D9,Ma,Jupiter,8. Aagama- Aproaching
D9,Ma,Venus,2. Upavesha- Sitting
D9,Ma,Saturn,11. Kautuka- Eagerness
D9,Ma,Rahu,2. Upavesha- Sitting
D9,Ma,Ketu,5. Gamana- Departing
D9,Ra,Sun,2. Upavesha- Sitting
D9,Ra,Moon,11. Kautuka- Eagerness
D9,Ra,Mars,3. Netrapani- Guiding the Hand
D9,Ra,Mercury,3. Netrapani- Guiding the Hand
D9,Ra,Jupiter,9. Bhojana- Eating
D9,Ra,Venus,3. Netrapani- Guiding the Hand
D9,Ra,Saturn,12. Nidra- Slumbering
D9,Ra,Rahu,3. Netrapani- Guiding the Hand
D9,Ra,Ketu,6. Aagamana- Arriving
D9,Ju,Sun,3. Netrapani- Guiding the Hand
D9,Ju,Moon,12. Nidra- Slumbering
D9,Ju,Mars,4. Prakaashana- Illuminating
D9,Ju,Mercury,4. Prakaashana- Illuminating
D9,Ju,Jupiter,10. Nrityalipsa- Desiring to Dance
D9,Ju,Venus,4. Prakaashana- Illuminating
D9,Ju,Saturn,1. Shayana- Laying
D9,Ju,Rahu,4. Prakaashana- Illuminating
D9,Ju,Ketu,7. Sabhaayaam- Congregating
D9,Sa,Sun,4. Prakaashana- Illuminating
D9,Sa,Moon,1. Shayana- Laying
D9,Sa,Mars,5. Gamana- Departing
D9,Sa,Mercury,5. Gamana- Departing
D9,Sa,Jupiter,11. Kautuka- Eagerness
D9,Sa,Venus,5. Gamana- Departing
D9,Sa,Saturn,2. Upavesha- Sitting
D9,Sa,Rahu,5. Gamana- Departing
D9,Sa,Ketu,8. Aagama- Aproaching
D10,Me,Sun,9. Bhojana- Eating
D10,Me,Moon,2. Upavesha- Sitting
D10,Me,Mars,12. Nidra- Slumbering
D10,Me,Mercury,8. Aagama- Aproaching
D10,Me,Jupiter,6. Aagamana- Arriving
D10,Me,Venus,12. Nidra- Slumbering
D10,Me,Saturn,12. Nidra- Slumbering
D10,Me,Rahu,12. Nidra- Slumbering
D10,Me,Ketu,3. Netrapani- Guiding the Hand
D10,Ke,Sun,10. Nrityalipsa- Desiring to Dance
D10,Ke,Moon,3. Netrapani- Guiding the Hand
D10,Ke,Mars,1. Shayana- Laying
D10,Ke,Mercury,9. Bhojana- Eating
D10,Ke,Jupiter,7. Sabhaayaam- Congregating
D10,Ke,Venus,1. Shayana- Laying
D10,Ke,Saturn,1. Shayana- Laying
D10,Ke,Rahu,1. Shayana- Laying
D10,Ke,Ketu,4. Prakaashana- Illuminating
D10,Ve,Sun,11. Kautuka- Eagerness
D10,Ve,Moon,4. Prakaashana- Illuminating
D10,Ve,Mars,2. Upavesha- Sitting
D10,Ve,Mercury,10. Nrityalipsa- Desiring to Dance
D10,Ve,Jupiter,8. Aagama- Aproaching
D10,Ve,Venus,2. Upavesha- Sitting
D10,Ve,Saturn,2. Upavesha- Sitting
D10,Ve,Rahu,2. Upavesha- Sitting
D10,Ve,Ketu,5. Gamana- Departing
D10,Su,Sun,12. Nidra- Slumbering
D10,Su,Moon,5. Gamana- Departing
D10,Su,Mars,3. Netrapani- Guiding the Hand
D10,Su,Mercury,11. Kautuka- Eagerness
D10,Su,Jupiter,9. Bhojana- Eating
D10,Su,Venus,3. Netrapani- Guiding the Hand
D10,Su,Saturn,3. Netrapani- Guiding the Hand
D10,Su,Rahu,3. Netrapani- Guiding the Hand
D10,Su,Ketu,6. Aagamana- Arriving
D10,Mo,Sun,1. Shayana- Laying
D10,Mo,Moon,6. Aagamana- Arriving
D10,Mo,Mars,4. Prakaashana- Illuminating
D10,Mo,Mercury,12. Nidra- Slumbering
D10,Mo,Jupiter,10. Nrityalipsa- Desiring to Dance
D10,Mo,Venus,4. Prakaashana- Illuminating
D10,Mo,Saturn,4. Prakaashana- Illuminating
D10,Mo,Rahu,4. Prakaashana- Illuminating
D10,Mo,Ketu,7. Sabhaayaam- Congregating
D10,Ma,Sun,2. Upavesha- Sitting
D10,Ma,Moon,7. Sabhaayaam- Congregating
D10,Ma,Mars,5. Gamana- Departing
D10,Ma,Mercury,1. Shayana- Laying
D10,Ma,Jupiter,11. Kautuka- Eagerness
D10,Ma,Venus,5. Gamana- Departing
D10,Ma,Saturn,5. Gamana- Departing
D10,Ma,Rahu,5. Gamana- Departing
D10,Ma,Ketu,8. Aagama- Aproaching
D10,Ra,Sun,3. Netrapani- Guiding the Hand
D10,Ra,Moon,8. Aagama- Aproaching
D10,Ra,Mars,6. Aagamana- Arriving
D10,Ra,Mercury,2. Upavesha- Sitting
D10,Ra,Jupiter,12. Nidra- Slumbering
D10,Ra,Venus,6. Aagamana- Arriving
D10,Ra,Saturn,6. Aagamana- Arriving
D10,Ra,Rahu,6. Aagamana- Arriving
D10,Ra,Ketu,9. Bhojana- Eating
D10,Ju,Sun,4. Prakaashana- Illuminating
