ERROR: logging before google.Init: I0803 09:24:10.214359       1 resolver.go:85] Model ID Gemini 3.1 Pro (High) not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0803 09:24:10.845300      39 profiler.go:154] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0803 09:24:10.845546      39 server.go:2251] initialized server successfully in 630.93925ms
ERROR: logging before google.Init: W0803 09:24:10.845959     197 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.846008     197 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:24:10.846026       1 auto_updater.go:217] Last check was less than 15 minutes ago, skipping update (fast path)
ERROR: logging before google.Init: W0803 09:24:10.846102     197 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:24:10.846370       1 common.go:133] Launching CLI mode
ERROR: logging before google.Init: E0803 09:24:10.846434     197 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.846410       1 common.go:149] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0803 09:24:10.846590       1 common.go:180] CLI app data directory: /Users/hajnaljanos/.gemini/antigravity-cli
ERROR: logging before google.Init: I0803 09:24:10.846628       1 server.go:247] Creating CLI server backend: product=antigravity workspaceDirs=[/Users/hajnaljanos/PycharmProjects/astra] appDataDir=/Users/hajnaljanos/.gemini/antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0803 09:24:10.846865       1 auth_provider.go:718] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: I0803 09:24:10.850412       1 server.go:1648] Backend project ID updated dynamically to: default-cli-project
ERROR: logging before google.Init: I0803 09:24:10.850469       1 analytics.go:143] CLI startup completed (took 636.966416ms)
ERROR: logging before google.Init: I0803 09:24:10.850511       1 printmode.go:120] Print mode: starting (promptLength=44327, model="Gemini 3.1 Pro (High)", conversationID="")
ERROR: logging before google.Init: I0803 09:24:10.850541       1 manager.go:367] Initializing CLI store manager for workspace /Users/hajnaljanos/PycharmProjects/astra
ERROR: logging before google.Init: W0803 09:24:10.850676     204 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.850705     204 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.850805     204 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.850836     204 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.851121     204 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.851154     204 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.851208     204 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.851225     204 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:24:10.851258       1 cli_setting_manager.go:138] applyUserSettings: no shared config permissions from /Users/hajnaljanos/.gemini/config/config.json
ERROR: logging before google.Init: I0803 09:24:10.851338       1 cli_setting_manager.go:787] Skipping telemetry propagation because user is not logged in
ERROR: logging before google.Init: I0803 09:24:10.851344       1 cli_setting_manager.go:81] CLI settings initialized: permissions=<nil>, toolPermission=always-proceed
ERROR: logging before google.Init: I0803 09:24:10.851688       1 hooks_manager.go:53] loaded 0 named hooks from 1 hooks.json file(s)
ERROR: logging before google.Init: I0803 09:24:10.851714       1 manager.go:539] CLI store manager initialized successfully
ERROR: logging before google.Init: I0803 09:24:10.851725       1 printmode.go:167] Print mode: --dangerously-skip-permissions set, auto-approving all tool permissions
ERROR: logging before google.Init: I0803 09:24:10.851741       1 printmode.go:347] Print mode: not authenticated, trying silent auth
ERROR: logging before google.Init: I0803 09:24:10.886601     229 keyring.go:81] keyringAuth: loaded token, expiry=2026-08-03 10:00:19.286112 +0530 IST expired=false
ERROR: logging before google.Init: I0803 09:24:11.123470       1 auth.go:137] ChainedAuth: authenticated via keyring (effective: keyring)
ERROR: logging before google.Init: I0803 09:24:11.123522       1 server_oauth.go:189] applyAuthResult: email=thomasgehrmeyer@gmail.com, authMethod=consumer, quotaProject=
ERROR: logging before google.Init: I0803 09:24:11.123557       1 server_oauth.go:194] OAuth: authenticated successfully as thomasgehrmeyer@gmail.com
ERROR: logging before google.Init: I0803 09:24:11.123562       1 server_oauth.go:200] b.codeAssistClient.AuthProvider (0x427425a9c0f0) is same as b.cliAuth (0x427425a9c0f0)
ERROR: logging before google.Init: W0803 09:24:11.123653     237 cache.go:56] Cache(fetchBAICAdminControls): Singleflight refresh failed: admin controls not applicable
ERROR: logging before google.Init: E0803 09:24:11.123707     237 errorreport.go:223] admin controls not applicable
ERROR: logging before google.Init: W0803 09:24:11.123755     237 cache.go:79] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: W0803 09:24:11.123763     242 cache.go:79] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: I0803 09:24:13.951286     235 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xfa9f19c92bdd90e
ERROR: logging before google.Init: I0803 09:24:15.600083     233 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x5fb5264744e482ad
ERROR: logging before google.Init: I0803 09:24:15.604983       1 model_resolver.go:73] Resolving model Gemini 3.1 Pro (High)
ERROR: logging before google.Init: I0803 09:24:15.605282       1 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (High)"
ERROR: logging before google.Init: I0803 09:24:15.605433     213 quota_manager.go:44] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0803 09:24:16.331382       1 printmode.go:349] Print mode: silent auth succeeded
ERROR: logging before google.Init: I0803 09:24:16.331437     214 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0803 09:24:17.075493     214 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0803 09:24:17.075766     293 manager.go:1186] Reloading system slash commands
ERROR: logging before google.Init: I0803 09:24:19.294503     308 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x557a0381b82a9272
ERROR: logging before google.Init: I0803 09:24:22.086516     296 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xe701f136392c1a1e
ERROR: logging before google.Init: I0803 09:24:22.666619     308 model_resolver.go:73] Resolving model Gemini 3.1 Pro (High)
ERROR: logging before google.Init: I0803 09:24:22.666850     308 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (High)"
ERROR: logging before google.Init: I0803 09:24:22.667023     213 quota_manager.go:44] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0803 09:24:22.667140     298 model_resolver.go:73] Resolving model Gemini 3.1 Pro (High)
ERROR: logging before google.Init: I0803 09:24:22.667296     298 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (High)"
ERROR: logging before google.Init: I0803 09:24:22.682640       1 model_resolver.go:73] Resolving model Gemini 3.1 Pro (High)
ERROR: logging before google.Init: I0803 09:24:22.682864       1 conversation_manager.go:374] Starting new conversation (agent=false)
ERROR: logging before google.Init: I0803 09:24:22.682888       1 server.go:985] Creating new cascade trajectory (agentScript=false)
ERROR: logging before google.Init: I0803 09:24:22.682902       1 server.go:988] Conversation using project ID: default-cli-project
ERROR: logging before google.Init: I0803 09:24:22.691509       1 server.go:1017] Created conversation db1159d6-d93f-4b51-aa4e-f424a23d31c5
ERROR: logging before google.Init: I0803 09:24:22.691625       1 server.go:2521] GetConversationDetail: found conversation db1159d6-d93f-4b51-aa4e-f424a23d31c5 (active=true)
ERROR: logging before google.Init: I0803 09:24:22.692491       1 server.go:2521] GetConversationDetail: found conversation db1159d6-d93f-4b51-aa4e-f424a23d31c5 (active=true)
ERROR: logging before google.Init: I0803 09:24:22.692532       1 conversation_manager.go:421] project: switching to conversation belonging to project ID: default-cli-project
ERROR: logging before google.Init: I0803 09:24:22.692629       1 server.go:1648] Backend project ID updated dynamically to: default-cli-project
ERROR: logging before google.Init: I0803 09:24:22.692647       1 cli_setting_manager.go:199] ApplyProjectPermissionGrants: no grants for project "CLI Project", cleared project permissions
ERROR: logging before google.Init: I0803 09:24:22.692661       1 conversation_manager.go:467] project: synced active project to "CLI Project" (id=default-cli-project) from conversation switch
ERROR: logging before google.Init: I0803 09:24:22.692680       1 conversation_manager.go:675] Streaming conversation db1159d6-d93f-4b51-aa4e-f424a23d31c5
ERROR: logging before google.Init: I0803 09:24:22.692702     110 manager.go:1210] Reloading system slash commands and skills
ERROR: logging before google.Init: I0803 09:24:22.692744     110 manager.go:1186] Reloading system slash commands
ERROR: logging before google.Init: I0803 09:24:22.693203       1 server.go:1026] Starting conversation update stream for db1159d6-d93f-4b51-aa4e-f424a23d31c5
ERROR: logging before google.Init: I0803 09:24:22.693231       1 printmode.go:247] Print mode: conversation=db1159d6-d93f-4b51-aa4e-f424a23d31c5, sending message
ERROR: logging before google.Init: I0803 09:24:22.693251       1 manager.go:1186] Reloading system slash commands
ERROR: logging before google.Init: I0803 09:24:22.694128     110 manager.go:1190] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0803 09:24:22.694249       1 manager.go:1190] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0803 09:24:22.694355       1 conversation_manager.go:523] Forwarding user message to conversation db1159d6-d93f-4b51-aa4e-f424a23d31c5 (items=1, media=0)
ERROR: logging before google.Init: I0803 09:24:22.694370       1 server.go:1371] Sending user message to conversation db1159d6-d93f-4b51-aa4e-f424a23d31c5 (items=1, media=0)
ERROR: logging before google.Init: I0803 09:24:22.705567     426 encoder_embed.go:85] Installing/updating embedded webm_encoder binary to /Users/hajnaljanos/.gemini/antigravity-cli/bin/webm_encoder
ERROR: logging before google.Init: I0803 09:24:23.506745     214 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0803 09:24:23.677250     213 quota_manager.go:44] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0803 09:24:24.306460     592 model_resolver.go:73] Resolving model Gemini 3.1 Pro (High)
ERROR: logging before google.Init: I0803 09:24:24.306650     592 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (High)"
ERROR: logging before google.Init: I0803 09:24:24.306710     213 quota_manager.go:44] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0803 09:24:24.398749     214 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0803 09:24:24.398970     214 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0803 09:24:24.398986     166 manager.go:1186] Reloading system slash commands
ERROR: logging before google.Init: I0803 09:24:24.401765     166 manager.go:1190] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0803 09:24:24.920870     214 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0803 09:24:24.921098     677 manager.go:1186] Reloading system slash commands
ERROR: logging before google.Init: I0803 09:24:24.924764     677 manager.go:1190] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0803 09:24:25.063326     214 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0803 09:24:25.537969     214 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0803 09:24:25.538228     623 manager.go:1186] Reloading system slash commands
ERROR: logging before google.Init: I0803 09:24:25.540884     623 manager.go:1190] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0803 09:24:25.962496     591 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x4db5eb00ea33f02e
ERROR: logging before google.Init: I0803 09:24:30.662711     653 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa37df5ff01bb0652 ResponseID: 7xBwauaDJYfYjuMPiY_00Qw
ERROR: logging before google.Init: I0803 09:25:09.370769     666 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x497bb4a61fac8644 ResponseID: HBFwav2hN771juMPj4iwuAk
ERROR: logging before google.Init: I0803 09:25:09.662454       1 manager.go:719] CLI store manager shutting down
ERROR: logging before google.Init: I0803 09:25:09.666001       1 conversation_manager.go:633] Stopping conversation stream
ERROR: logging before google.Init: I0803 09:25:09.666149     111 server.go:1066] Stream goroutine exited for db1159d6-d93f-4b51-aa4e-f424a23d31c5, sending completion signal
ERROR: logging before google.Init: I0803 09:25:09.666265     111 conversation_manager.go:761] Stream completed for db1159d6-d93f-4b51-aa4e-f424a23d31c5, clearing ResponsePending
ERROR: logging before google.Init: I0803 09:25:09.666625     667 server.go:2576] Language server shutting down
ERROR: logging before google.Init: I0803 09:25:09.666690     667 server.go:2581] Waiting for migrations to complete to prevent partial migration state...
